folder,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AEP,1,1,1,1,1,1,1,1,1,1,1,1
AES,1,1,1,1,1,1,1,1,1,1,1,1
AIG,1,1,1,1,1,1,1,1,1,1,1,1
APA,,,,,,,,,1,1,1,1
APC,1,1,1,1,1,1,,,,,,
ARCH,1,1,1,1,1,1,1,1,1,1,1,
ASH,,,1,1,1,1,1,1,1,1,1,
BE,,,,,,1,1,1,1,1,1,1
BIRD,,,,,,,,,1,1,1,1
BTU,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
CL,1,1,1,1,1,1,1,1,1,1,1,1
CLX,1,1,1,1,1,1,1,1,1,1,1,
CNX,1,1,1,1,1,1,1,1,1,1,1,1
COP,1,1,1,1,1,1,1,1,1,1,1,1
COST,1,1,1,1,1,1,1,1,1,1,1,
CPB,1,1,1,1,1,1,1,1,1,1,1,
CUK,1,1,1,1,1,1,1,1,1,1,1,1
CVX,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
DAL,1,1,1,1,1,1,1,1,1,1,1,1
DK,,,,,1,1,1,1,1,1,1,1
DNMRQ,,,,,,,,1,1,1,1,
DUK,1,1,1,1,1,1,1,1,1,1,1,1
DVN,1,1,1,1,1,1,1,1,1,1,1,1
EIX,1,1,1,1,1,1,1,1,1,1,1,1
ET,1,1,1,1,1,1,1,1,1,1,1,1
ETR,1,1,1,1,1,1,1,1,1,1,1,1
ETSY,,,1,1,1,1,1,1,1,1,1,1
EVA,,,1,1,1,1,1,1,1,1,1,
GE,1,1,1,1,1,1,1,1,1,1,1,1
GLP,1,1,1,1,1,1,1,1,1,1,1,1
GM,1,1,1,1,1,1,1,1,1,1,1,1
GS,1,1,1,1,1,1,1,1,1,1,1,1
GT,1,1,1,1,1,1,1,1,1,1,1,1
HES,1,1,1,1,1,1,1,1,1,1,1,1
HON,1,1,1,1,1,1,1,1,1,1,1,1
IOSP,1,1,1,1,1,1,1,1,1,1,1,1
KDP,1,1,1,1,1,1,1,1,1,1,1,1
KO,1,1,1,1,1,1,1,1,1,1,1,1
META,1,1,1,1,1,1,1,1,1,1,1,1
MPC,1,1,1,1,1,1,1,1,1,1,1,1
MRO,1,1,1,1,1,1,1,1,1,1,1,
MS,1,1,1,1,1,1,1,1,1,1,1,1
MUR,1,1,1,1,1,1,1,1,1,1,1,1
NEW,1,1,1,1,1,1,1,1,1,1,,
NGL,1,1,1,1,1,1,1,1,1,1,1,1
OC,1,1,1,1,1,1,1,1,1,1,1,1
OVV,,,,,,,1,1,1,1,1,1
OXY,1,1,1,1,1,1,1,1,1,1,1,1
PCG,1,1,1,1,1,1,1,1,1,1,1,1
PG,1,1,1,1,1,1,1,1,1,1,1,
PSX,1,1,1,1,1,1,1,1,1,1,1,1
RCL,1,1,1,1,1,1,1,1,1,1,1,1
SRE,1,1,1,1,1,1,1,1,1,1,1,1
SUN,1,1,1,1,1,1,1,1,1,1,1,1
TDG,1,1,1,1,1,1,1,1,1,1,1,
TLN,,,1,,,,,,,,,1
UAL,1,1,1,1,1,1,1,1,1,1,1,1
WMB,1,1,1,1,1,1,1,1,1,1,1,1
WMT,1,1,1,1,1,1,1,1,1,1,1,1
X,1,1,1,1,1,1,1,1,1,1,1,1
XOM,1,1,1,1,1,1,1,1,1,1,1,1
